developer,publisher,price,release_year
Kotoshiro,Kotoshiro,4.99,2018
Secret Level SRL,"Making Fun, Inc.",Free,2018
Poolians.com,Poolians.com,Free,2017
彼岸领域,彼岸领域,0.99,2017
Trickjump Games Ltd,Trickjump Games Ltd,3.99,2018
Poppermost Productions,,9.99,2018
Poppermost Productions,Poppermost Productions,18.99,2018
Poppermost Productions,Poppermost Productions,29.99,2018
RewindApp,RewindApp,,2018
Qucheza,Qucheza,,1900
Stegalosaurus Game Development,Stegalosaurus Game Development,10.99,2018
Copperpick Studio,Copperpick Studio,3.99,2018
Ghulam Jewel,Ghulam Jewel,2.99,2018
Apillo,Apillo,1.59,2018
Poppermost Productions,Poppermost Productions,14.99,2018
Apillo,Apillo,1.99,2018
Poppermost Productions,Poppermost Productions,59.99,2018
Tero Lunkka,Tero Lunkka,0.99,2018
FrozenPepper,FrozenPepper,2.99,2017
FrozenPepper,FrozenPepper,2.99,2017
Casey Labrack,Casey Labrack,4.99,2018
Stainless Games Ltd,Stainless Games Ltd,9.99,1997
Valve,Valve,9.99,1998
dev4play,dev4play,1.99,2016
BlueLine Games,BlueLine Games,,2018
Games by Brundle,Games by Brundle,,2018
ETGgames,ETGgames,0.99,2018
ProjectorGames,ProjectorGames,,2018
Unknown Indie Devs,Unknown Indie Devs,,2017
The Commander,,8.99,2018
"lalalaZero,Urbanoff",Cisamid Inc.,0.99,2018
Strategy First,Strategy First,6.99,2006
Strategy First,Strategy First,6.99,2006
Outerlight Ltd.,Blazing Griffin Ltd.,9.99,2006
Zachary M Thomas,Zachary M Thomas,,1900
Breakout Studio,Breakout Studio,,2017
"zha7,Phaedruns,Yingke Wu",zha7,,1900
Ultraint,Ultraint,7.99,2017
Seth Albertus,Seth Albertus,,2018
TPM.CO SOFT WORKS,TPM.CO SOFT WORKS,10.99,2017
Wonderbox Games,Wonderbox Games,9.99,2017
Wonderbox Games,Wonderbox Games,9.99,2017
Mad Unicorn Games,Mad Unicorn Games,1.99,2017
Emanon Studios,,0.99,2017
GlyphX Games,Majesco,9.99,2005
Introversion Software,Introversion Software,9.99,2006
Outerlight Ltd.,Blazing Griffin Ltd.,9.99,2006
Facepunch Studios,Valve,9.99,2006
SimBin,SimBin,39.99,2006
Unknown Worlds Entertainment,Unknown Worlds Entertainment,Free,2006
"CINEMAX, s.r.o.","CINEMAX, s.r.o.",4.99,2006
Sick Puppies,Strategy First,4.99,2003
Deepred,Strategy First,4.99,2006
Funcom,Funcom,19.99,2006
Bugbear Entertainment,Strategy First,9.99,2006
Bugbear Entertainment,Strategy First,7.49,2005
"CAPCOM Co., Ltd.",Capcom,14.99,2007
"FireFly Studios,Firaxis Games",2K Games,9.99,2006
Arkane Studios,Arkane Studios,4.99,2002
Funcom,Funcom,9.99,2000
Firaxis Games,2K Games,4.99,2006
PopTop,2K Games,9.99,2003
"Firaxis Games,Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",9.99,2006
PopTop,2K Games,4.99,1998
Elephant Games,,4.99,2007
"MicroProse Software, Inc",2K Games,4.99,1995
"Crystal Dynamics,Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",8.99,2007
"CAPCOM Co., Ltd.",Capcom,19.99,2006
Telltale Games,Telltale Games,19.99,2006
id Software,id Software,4.99,1996
Freegamer,,,2007
Telltale Games,Telltale Games,19.99,2006
id Software,id Software,4.99,1995
id Software,id Software,14.99,1995
id Software,id Software,4.99,1994
id Software,id Software,4.99,1994
Gray Matter Studios,id Software,4.99,2001
Ritual Entertainment,id Software,2.99,1997
