user_id,items_count,recommend_percentage,gasto_user
--000--,58,100.0,403.26000000000005
--ace--,44,100.0,333.64
--ionex--,23,100.0,219.84
-2SV-vuLB-Kg,68,100.0,2187.45
-404PageNotFound-,149,100.0,1514.31
-AnimeIsMyThing-,127,100.0,1199.43
-Azsael-,167,100.0,2461.68
-Beave-,47,100.0,54.95
-Encore-,24,100.0,287.78
-GM-Dragon,106,50.0,1644.94
-I_AM_EPIC-,20,100.0,129.94
-JT,26,100.0,229.85999999999999
-Kenny,118,100.0,1563.12
-KillZone-,114,100.0,1225.28
-Konflict-,0,100.0,0.0
-Mad-,367,100.0,7360.36
-Naughty-,62,100.0,482.75
-PRoSlayeR-,529,50.0,5083.599999999999
-Rainbowdash-,0,100.0,0.0
-SEVEN-,394,77.77777777777779,32787.0
-SatansLittleHelper-,28,100.0,323.78000000000003
-TheOnlyMAGNAT-,0,100.0,0.0
-Thyme-,43,100.0,519.68
-Ultrix,131,100.0,1467.68
-Uplink-,123,100.0,1516.1699999999998
-Zovix-,51,100.0,224.87
-_PussyDestroyer_-,51,60.0,1803.3999999999999
-_________________________-,0,100.0,0.0
-_skIzZ_-,40,100.0,374.81
-fastrvrs-,18,100.0,195.89
-iBubble,15,100.0,127.88
-kainey9777,69,100.0,1027.53
-shdvb,0,100.0,0.0
-xKyox-,49,100.0,195.85
0-3-0,139,100.0,3279.88
00000000000000000001227,93,100.0,6433.68
00000000100000000010001,0,100.0,0.0
00000003010,59,100.0,331.7
0000FF,25,100.0,144.91
000Infinity000,30,100.0,109.97
001000111000111000010,71,100.0,753.4
001002130882,3,100.0,14.99
001010001,48,100.0,325.81
00284702,0,100.0,0.0
0041287,34,100.0,144.92
00454211432342,24,50.0,275.76
005577,231,100.0,2926.25
00690069006900,102,100.0,801.35
0071945,373,100.0,4970.8
007Pro,1,100.0,0.0
007james_bond,178,100.0,2128.6
007thesilence,49,100.0,596.67
00810cccyyykkk,7,100.0,19.98
008port,71,100.0,418.67
0099654321891111,23,100.0,188.86
00True,28,100.0,605.72
00jitz,0,100.0,0.0
00nana,9,100.0,29.979999999999997
01001000-01101001,88,100.0,5352.84
010195345,2,100.0,0.0
0102705195,3,100.0,0.0
01029y7gfeyw,0,100.0,0.0
010607,28,100.0,220.79999999999998
011000100001000111,76,100.0,851.31
011011010111001000101110,26,100.0,101.88
011111135489484797,5,100.0,59.959999999999994
01120477677,29,100.0,233.88
0112937783,31,100.0,434.8
01189958889189157253,159,83.33333333333334,11218.44
0118999881999119,139,100.0,1314.94
01221733,125,100.0,1127.2
0132489,0,100.0,0.0
0136849195,62,100.0,133.91
01398279857934,11,100.0,14.99
015vmsst64cvbw3rfreeitems,0,100.0,0.0
018302,42,100.0,507.66999999999996
019299,0,100.0,0.0
01shan,5,100.0,24.98
02108,0,100.0,0.0
0212030,7,100.0,104.94999999999999
022899,80,100.0,3490.14
0248359,10,100.0,223.88
025652,3,100.0,0.0
0271975108,62,100.0,694.67
0305089,97,100.0,587.55
03092002,24,100.0,255.89
03375616256,2,100.0,9.99
0402593613,6,100.0,19.98
