sentiment_analysis,release_date
2,2009
2,2009
0,2009
1,2009
1,2009
1,2009
1,2009
2,2009
1,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
1,2009
2,2009
2,2009
1,2009
0,2009
1,2009
2,2009
2,2009
2,2009
1,2009
0,2009
1,2009
1,2009
0,2009
2,2009
1,2009
2,2009
2,2009
2,2009
1,2009
1,2009
1,2009
0,2009
2,2009
2,2009
1,2009
1,2009
1,2009
2,2009
2,2009
1,2009
2,2009
1,2009
2,2009
2,2009
2,2009
1,2009
0,2009
2,2009
1,2009
1,2009
1,2009
2,2009
2,2009
2,2009
2,2009
2,2009
1,2009
2,2009
1,2009
1,2009
2,2009
1,2009
2,2009
2,2009
1,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
1,2009
1,2009
2,2009
0,2009
1,2009
1,2009
2,2009
2,2009
2,2009
2,2009
1,2009
1,2009
0,2009
2,2009
1,2009
0,2009
2,2009
0,2009
0,2009
1,2009
1,2009
1,2009
1,2009
1,2009
2,2009
1,2009
1,2009
0,2009
1,2009
0,2009
0,2009
0,2009
2,2009
1,2009
0,2009
0,2009
0,2009
2,2009
1,2009
1,2009
2,2009
1,2009
1,2009
1,2009
2,2009
1,2009
2,2009
0,2009
1,2009
2,2009
2,2009
1,2009
2,2009
2,2009
2,2009
2,2009
1,2009
2,2009
2,2009
0,2009
2,2009
2,2009
1,2009
2,2009
1,2009
2,2009
1,2009
2,2009
1,2009
2,2009
0,2009
2,2009
2,2009
2,2009
1,2009
2,2009
0,2009
1,2009
2,2009
2,2009
0,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
0,2009
2,2009
1,2009
1,2009
0,2009
2,2009
1,2009
1,2009
2,2009
1,2009
0,2009
2,2009
2,2009
2,2009
1,2009
2,2009
1,2009
1,2009
2,2009
2,2009
2,2009
2,2009
1,2009
1,2009
1,2009
2,2009
1,2009
2,2009
1,2009
1,2009
1,2009
2,2009
1,2009
0,2009
1,2009
0,2009
1,2009
1,2009
2,2009
0,2009
2,2009
2,2009
2,2009
2,2009
2,2009
2,2009
1,2009
0,2009
0,2009
2,2009
2,2009
2,2009
2,2009
1,2009
1,2009
2,2009
2,2009
2,2009
1,2009
1,2009
2,2009
1,2009
2,2009
2,2009
1,2009
2,2009
0,2009
0,2009
2,2009
1,2009
0,2009
0,2009
2,2009
2,2009
2,2009
1,2009
1,2009
1,2009
2,2009
0,2009
1,2009
0,2009
2,2009
1,2009
2,2009
1,2009
2,2009
0,2009
