genre,playtime_forever
Action,3113562606.0
Indie,1494622404.0
RPG,1041022718.0
Adventure,909995120.0
Simulation,867646306.0
Strategy,659363841.0
Free to Play,610752945.0
Massively Multiplayer,446594080.0
Casual,252232854.0
Early Access,158701268.0
Sports,65849177.0
Racing,63698455.0
Utilities,4702399.0
Design &amp; Illustration,4102258.0
Web Publishing,2780605.0
Video Production,2408892.0
Animation &amp; Modeling,2007347.0
Software Training,571032.0
Audio Production,556002.0
Education,415556.0
Photo Editing,115425.0
